Lyric,Count
Check-ch-check-check-check-ch-check,12
Go,12
bag,12
den,12
'Nuff,12
door,12
straight,12
phone,12
Yauch,12
See,12
Master,12
sky,12
wild,12
he'll,12
fat,12
born,12
behind,12
makes,12
em ,12
rat,12
end,11
class,11
soul,11
dead,11
wax,11
enough,11
Rock,11
knows,11
(that's,11
cup,11
mic ,11
"Abednago""",11
round,11
special,11
bottle,11
track,11
Down,11
pulled,11
paid,11
Two,11
morning,11
"""Shadrach",11
driving,11
clout,11
insane,11
it?,11
attention,11
half,11
Bennie,11
How,11
Once,11
suckers,11
shake,11
Def,11
nose,11
side,11
Me,11
lickin' ,11
forget,11
delay,11
girls ,11
eat,11
loud,11
the ,11
Lee,11
Mesach,11
weak,11
scream,11
along,11
send,11
Cooky,11
Had,10
time ,10
mother,10
fine,10
bum,10
His,10
porno,10
Tom,10
one's,10
lost,10
sip,10
tried,10
pound,10
Castle,10
vibe ,10
wish,10
cook ,10
South,10
yes,10
Tough,10
crafty,10
feet,10
leg,10
sucker,10
man's,10
test,10
Man,10
lookin',10
Sam,10
voice,10
bitch,10
One ,10
trouble,10
hip-hop,10
Know,10
clock,10
giving,10
clear,10
Dear,10
speak,10
Riding,10
forty,10
hits,10
chicken,10
build,10
beer,10
Went,10
Hutton,10
de,10
here's,10
far,10
boat,10
god,10
granny,10
upon,10
first,10
die,9
shout,9
"""Yo",9
may,9
(one),9
cutting,9
back ,9
Girls ,9
rhyme ,9
Nas,9
"it""",9
You'll,9
Ali,9
now),9
its,9
shoot,9
smoke,9
TV,9
which,9
calm,9
ladies ,9
science,9
(three),9
hip,9
Bronx,9
say?,9
Walking,9
busted,9
Ah ,9
lady,9
swell,9
illingest,9
read,9
drive,9
we've,9
mirage,9
groove,9
takes ,9
kinda,9
soothing,9
boss,9
missed,9
kinds,9
danger),9
okay,9
bounce,9
sweet,9
again ,9
piece,9
sing,9
joint,9
Said,9
minute,9
stock,9
smokes,9
peace,9
Girl,9
boots,9
press,9
baby ,9
maybe,9
days,9
downtown,9
battle,9
lyrics,9
box,9
say ,9
Thank,9
since,9
plan,9
MC,9
guy ,9
doin',9
dog,9
Every,9
telling,9
ice,9
gonna',9
smile,9
Going,9
same,9
mine,9
between,9
teeth,9
planned,9
it!,9
Kick,9
believe,9
we'll,9
Good,9
why'all,9
came,9
So ,9
calling,9
Be,9
boy,9
kickin',9
white,9
Ooh,9
clothes,8
chillin',8
finger-lickin',8
(Over,8
hide,8
M.C.A. ,8
drinking,8
Always,8
booth,8
throwing,8
Ma,8
funny,8
difference?,8
naked,8
Puttin',8
cheese,8
station,8
(you,8
area ,8
egg,8
flip,8
Read,8
thieves,8
couldn't,8
Full,8
shoes,8
kill,8
chill,8
slick,8
pocket,8
sayin',8
Yo ,8
Trying,8
eye,8
Before,8
asked,8
fall,8
bus,8
Some,8
nothin',8
routine,8
Friday,8
right ,8
bullshit,8
bringing,8
microphone ,8
broke,8
triple,8
chance,8
thinking,8
perfection,8
mouth,8
(Mike,8
Who's,8
spin,8
cars,8
wreck,8
smoking,8
thing ,8
forms,8
While,8
coast,8
quit,8
Baba,8
year,8
Island,8
John,8
fade,8
job,8
quick,8
together ,8
gripe,8
noise,8
here),8
worth,8
bon,8
trust,8
sees,8
open,8
begin,8
ace,8
book,8
four,8
Words,8
way ,8
master,8
women,8
Where,8
sauce,8
Georgie,8
eating,7
B-E-A-S-T-I-E.,7
Say,7
hands,7
Maybe,7
rough,7
wasn't,7
'till,7
guess,7
platter,7
York ,7
thief,7
later,7
gift,7
mag,7
mission,7
scene,7
tax,7
grabbed,7
busting,7
lifestyles ,7
squad,7
middle,7
Tell,7
walking,7
rest,7
B,7
wake,7
wrote,7
Only,7
Pass,7
swim,7
ground,7
drinkin',7
sisters,7
fool,7
coffee,7
Grand,7
Riot,7
pants,7
late,7
bit,7
White,7
being,7
earth,7
Took,7
listening,7
competition,7
mighty,7
tired,7
scratch,7
does,7
brother,7
clean,7
family,7
f*cked,7
post,7
wet,7
tape,7
reach,7
wire,7
rappin',7
nor,7
Sometimes,7
dropped,7
goggles,7
snappers,7
Yes ,7
everyone,7
guy,7
abide,7
biz,7
tooth,7
toe,7
hook,7
rain,7
crystal,7
homeboy,7
talkin',7
second,7
sizes ,7
Our,7
Boomin',7
man?,7
push,7
see ,7
f*cking,7
Ryall,7
(danger),7
sour,7
juice,7
lights,7
fun,7
outside,7
pie,7
bigger,7
crab,7
head?,7
tweak,7
girlie,7
this ,7
quarter,7
sound ,7
Money,7
green,7
wouldn't,7
roll,7
I'mma,7
ought,7
givin',7
lie,7
slip,7
speed,7
(You,7
Dave,7
Long,7
dick,7
MCA ,7
def,7
ways,7
history,7
Have,6
livin' ,6
jerk,6
saying,6
eight,6
fill,6
(MCA),6
Back,6
piss ,6
button,6
sweat,6
breakin',6
d,6
What-wha-what-what-what's,6
drag,6
having,6
dreams,6
Zu,6
Hold,6
Meshach ,6
packs,6
bed,6
granny ,6
maestro,6
dial,6
slice,6
dollar,6
dope,6
Looking,6
thrusts,6
correct,6
L,6
fore,6
shed,6
Running,6
iron,6
scheming,6
"""How",6
Believe,6
red,6
thank,6
here ,6
on?,6
yours,6
nuts,6
key,6
"""I'm",6
(now),6
faster!,6
Jets,6
(your,6
order,6
glass,6
pick,6
crush,6
jammy,6
Fresh,6
black,6
Scorpio,6
rewind,6
lies,6
so ,6
(be),6
set),6
keen,6
shapes ,6
Work-wa-work-work-work-wa-work,6
Look,6
function,6
mirror,6
C.,6
lit,6
broad,6
(right),6
More,6
Watergate,6
rapping,6
says,6
Wanna,6
bite,6
See ,6
(two) ,6
fish,6
remote,6
steal,6
share,6
rock ,6
(two),6
Of,6
handle,6
hypocrite,6
spread,6
found,6
fists,6
Kuniff ,6
Shout,6
business,6
kicking,6
crappers,6
(It,6
throat,6
about?,6
weight,6
Agh,6
Getting,6
groovin',6
nations,6
everything,6
creme,6
(gotta),6
Jimmy,6
(we),6
Master ,6
sight,6
slow,6
used,6
count,6
Yes,6
staring,6
section,6
cash,6
use,6
c'mon,6
Dave ,6
Bridge,6
likes,6
By,6
reason,6
told,6
"""You",6
representing,6
one ,6
beef,6
west,6
frame,6
butter,6
A1,6
dissed,6
Something,6
worry,6
en,6
get),6
mike,6
leave,6
"""Now",6
ale,6
shut,6
donkey,6
cutie,6
pain,6
who's,6
wife,6
(fore),6
(get,6
nine,6
any,6
"laugh?""",6
shame,6
got ,6
bet),6
unique,6
Den,6
smokin',6
stuffin',6
wonder,6
band,6
funky ,6
(Adrock),6
park,6
ghost,6
yet),6
low,6
played,6
three ,6
bat,6
ceiling,6
Won't,6
riot,6
City,6
race,6
wrapped,6
dumb,6
Place,6
carry,6
happy,6
pedal,6
(done,6
cut ,6
D),6
changed,6
fix,6
fully,6
Ad,6
cross,6
whatcha,6
raid,6
Jill,6
Girls,6
gave,6
den ,6
High,6
street,6
insists,6
situation,6
straight ,6
"""My",6
starts,6
(Love,6
knew,6
tracks,6
alone,5
health,5
ooh,5
bar,5
Hollis,5
blow,5
god ,5
Cold,5
Spock,5
riding,5
Talking,5
given,5
trash,5
supposed,5
wherever,5
pussy,5
seeing,5
smooth,5
Four,5
stole,5
spell,5
tick,5
booming,5
though,5
We'll,5
Super,5
heads,5
once,5
choice,5
jump,5
they'll,5
Want,5
slide,5
brings,5
bald,5
Hot,5
magic,5
Someday,5
hop,5
plenty,5
super,5
Chinese,5
tellin',5
shit's,5
BGirls,5
doors,5
be ,5
dice,5
reached,5
Joe,5
Bob,5
remember,5
Guaranteed,5
lose,5
toast,5
shelf,5
charge,5
unite,5
Ride,5
windows,5
"""Yo ",5
watching,5
locked,5
