name,location__city,location__neighborhood,location__coordinates,categories__001,categories__002,categories__003,bio__summary,bio__url,bio__birthdate,bio__deathdate,bio__yearsActiveStart,bio__yearsActiveEnd,youtube__clipExampleUrl
Bushwick Bill,New York,Bushwick,"-73.922310, 40.705489",rapper,,,"Richard Stephen Shaw (December 8, 1966 – June 9, 2019) was a Jamaican-American rapper and record producer better known by his stage name Bushwick Bill. He was best known as a member of the pioneering Texas hip hop group Geto Boys, a group he originally joined as a dancer in 1986 as Little Billy.",https://en.wikipedia.org/wiki/Bushwick_Bill,1966-12-08T00:00:00.000Z,6/9/2019,1986,2019.0,https://www.youtube.com/embed/VTn2fOAVHYM
Seagram,Oakland,,"-122.185518, 37.757858",rapper,,,"Seagram Miller (April 13, 1970 – July 31, 1996) was an American rapper from Oakland, California. Miller was shot to death in a drive-by shooting on July 31, 1996. ",https://en.wikipedia.org/wiki/Seagram_(rapper),1970-04-13T00:00:00.000Z,7/31/1996,1989,1996.0,https://www.youtube.com/embed/gYVDa_OcJNo
Big Hawk,Houston,,"-95.340298, 29.621483",rapper,,,"John Edward Hawkins (November 15, 1969 – May 1, 2006), better known as H.A.W.K. or Big Hawk was an American rapper from Houston, Texas and a founding member of the late DJ Screw's rap group the Screwed Up Click.",https://en.wikipedia.org/wiki/Big_Hawk,1969-11-15T00:00:00.000Z,5/1/2006,1992,2006.0,https://www.youtube.com/embed/T4SEZ9skGrA
Fat Pat,Houston,,"-95.342376, 29.619981",rapper,,,"Patrick Lamark Hawkins (December 4, 1970 – February 3, 1998), better known by his stage name Fat Pat was an American rapper from Houston, Texas.",https://en.wikipedia.org/wiki/Fat_Pat_(rapper),1970-12-04T00:00:00.000Z,2/3/1998,1993,1998.0,https://www.youtube.com/embed/7aELH0U2gkk
Big Moe,Houston,,"-95.354919, 29.722827",rapper,,,"Kenneth Doniell Moore (August 20, 1974 – October 14, 2007), better known by his stage name Big Moe, was an American rapper from Houston, Texas.",https://en.wikipedia.org/wiki/Big_Moe,1974-08-20T00:00:00.000Z,10/14/2007,1993,2007.0,https://www.youtube.com/embed/LCu-2ekdFe4
Craig Mack,New York,Brentwood,"-73.222561, 40.768558",rapper,,,"Craig Mack (May 10, 1970 – March 12, 2018) is an American rapper, who gained fame on Puff Daddy's Bad Boy Entertainment record label in the 1990s. Although his first single was released under the name MC EZ in 1988, he is best known for his 1994 hit single ""Flava In Ya Ear"", which was released under his real name.",https://en.wikipedia.org/wiki/Craig_Mack,1971-05-10T00:00:00.000Z,3/12/2018,1988,,https://www.youtube.com/embed/GNFqMx0gY7I
Jimmy Wopo,Pittsburgh,Hill District,"-79.980578, 40.445019",rapper,,,"Travon DaShawn Frank Smart (January 13, 1997 – June 18, 2018), better known by his stage name Jimmy Wopo, was an American rapper from Pittsburgh, Pennsylvania.",https://en.wikipedia.org/wiki/Jimmy_Wopo,1997-01-13T00:00:00.000Z,6/18/2018,2015,,https://www.youtube.com/embed/B-agUlNitPE
Nipsey Hussle,Los Angeles,Crenshaw,"-118.345268, 34.010830",rapper,,,"Ermias Asghedom (August 15, 1985 – March 31, 2019), better known by his stage name Nipsey Hussle (often stylized as Nipsey Hu$$le), is an American rapper from Crenshaw, Los Angeles, California. Hussle was murdered outside his store, Marathon Clothing, in South Los Angeles on March 31, 2019.",https://en.wikipedia.org/wiki/Nipsey_Hussle,1985-09-15T00:00:00.000Z,3/31/2019,2005,2019.0,https://www.youtube.com/embed/wuWJUd8nN4w
Coyote Jo Bastard,Paris,17ème arrondissement,"2.304811, 48.884824",rapper,,,Coyote Jo Bastard is a French rapper from the 17ème arrondissement of Paris.,,2017-03-10T00:00:00.000Z,3/10/2017,2012,,https://www.youtube.com/embed/2X7NVC9-l5E
Lord Infamous,Memphis,,"-90.039561, 35.092953",rapper,,,"Ricky T Dunigan (November 17, 1973 – December 20, 2013), better known by his stage name Lord Infamous, was an American rapper from Memphis, Tennessee. He was best known as co-founder of the Memphis rap group Three 6 Mafia.",https://en.wikipedia.org/wiki/Lord_Infamous,1973-11-17T00:00:00.000Z,12/20/2013,1990,2013.0,https://www.youtube.com/embed/lZM0pBNVMW0
