Lyrics,Count
crazy),78
bottle,77
boss,77
please,77
neck,77
slide,77
gangstas,77
Them,77
Be,77
somethin',77
lose,77
flip,77
shoot,76
sky,76
blast,76
stuff,76
chronic,76
limit,76
boys,76
quit,76
"dumb,",76
morning,76
funk,76
These,76
listen,76
well,76
D-O,75
ladies,75
"Man,",75
O,75
***,75
reason,75
everywhere,75
bomb,75
Shit,74
freak,74
eat,74
song,74
seat,74
?,74
Better,74
I'mma,74
myself,74
juice,74
Dogg),73
gettin,73
Pop,73
"Snoop,",73
stand,73
mic,73
runnin',73
somebody,73
thug,73
"Drop,",73
couldn't,73
sweet,72
Crip,72
behind,72
known,72
slip,72
fact,72
wit',71
sleep,71
green,71
"uh,",71
Not,71
drip,71
few,71
water,71
peace,71
it),71
wet,71
white,71
Dr.,70
word,70
win,70
Do-owww-ohhhh-oggg,70
fools,70
rollin',70
bit,70
being,70
"like,",70
Cuz,69
"streets,",69
n',69
were,69
trippin',69
There,69
huh,69
wait,69
nice,69
"em,",69
Hold,68
because,68
round,68
"off,",68
Roll,68
feelin',68
any,68
outta,67
Its,67
ooh,67
crew,67
Stay,67
Life,67
(you,67
stick,67
(What,67
type,67
corner,67
bounce,67
number,67
nine,67
school,67
Nate,66
hundred,66
yourself,66
punk,66
Platinum,66
chase,66
tryin,66
sack,66
Y'all,66
fake,66
family,66
"us,",65
"real,",65
wanted,65
phone,65
worth,65
blaze,65
deal,65
saying,65
sell,65
sound,65
While,64
million,64
thank,64
running,64
At,64
Drop,64
mission,64
pound,64
Throw,64
bank,64
up),64
kush,64
funky,63
makes,63
hair,63
"hood,",63
words,63
(Dog),63
Gangsta,63
blowing,63
Two,63
clothes,63
rest,62
shine,62
"ass,",62
Because,62
line,62
Tray,62
"said,",62
telling,62
rolling,62
lie,62
each,62
mother,62
rough,61
bag,61
open,61
single,61
brand,61
sing,61
Top,61
smoking,61
cop,61
truth,61
"hoes,",61
supposed,61
[Snoop],61
South,61
minute,60
Watch,60
"stop,",60
piece,60
California,60
chain,60
bet,60
knows,60
inside,60
picture,60
shots,59
making,59
what?),59
none,59
strap,59
"Uh,",59
"is,",59
"be,",59
star,59
"Yo,",59
Bad,59
east,59
represent,58
help,58
breathe,58
Even,58
shoes,58
(yeah),58
Park,58
"dog,",58
chest,58
"day,",58
"see,",57
thinking,57
friend,57
knees,57
hook,57
why'all,57
Since,57
loc,57
